CODIGO_CALLE,TIPO_VIA,NOMBRE_CALLE,PRIMER_NUM_TRAMO,ULTIMO_NUM_TRAMO,BARRIO,COD_DISTRITO,NOM_DISTRITO
55689,CL,PERIODISTA VICTOR MELLADO ,1,23,LAS ESPE�UELAS,8,CHURRIANA 
55689,CL,PERIODISTA VICTOR MELLADO ,2,2,LAS ESPE�UELAS,8,CHURRIANA 
55691,CL,PERIODISTA VICTORIANO LOME�A GARCIA ,1,13,TORREMAR,10,PUERTO DE LA TORRE
55691,CL,PERIODISTA VICTORIANO LOME�A GARCIA ,2,12,TORREMAR,10,PUERTO DE LA TORRE
82228,DSMO,PERLILLA LA ,1,11,DSMO DM CAMPANILLAS ,9,CAMPANILLAS 
82228,DSMO,PERLILLA LA ,2,12,DSMO DM CAMPANILLAS ,9,CAMPANILLAS 
55692,CL,PERO NI�O ,1,13,LOS NARANJOS,3,CIUDAD JARDIN 
55692,CL,PERO NI�O ,2,10,LOS NARANJOS,3,CIUDAD JARDIN 
55790,CL,PERSILES,1,1,LA PELUSILLA,2,ESTE
55790,CL,PERSILES,2,10,LA PELUSA ,2,ESTE
55804,CL,PERTIGA ,1,13,LOS PRADOS,6,CRUZ DE HUMILLADERO 
55804,CL,PERTIGA ,2,6,LOS PRADOS,6,CRUZ DE HUMILLADERO 
55832,CL,PERU,1,7,PEDREGALEJO ,2,ESTE
55832,CL,PERU,2,6,PEDREGALEJO ,2,ESTE
55846,PJE ,PERU,1,3,PEDREGALEJO ,2,ESTE
55846,PJE ,PERU,2,4,PEDREGALEJO ,2,ESTE
55860,CL,PESO DE LA HARINA ,1,25,MARMOLES,1,CENTRO
55860,CL,PESO DE LA HARINA ,2,28,MARMOLES,1,CENTRO
55874,CL,PETENERAS ,1,7,SANTA JULIA ,6,CRUZ DE HUMILLADERO 
55874,CL,PETENERAS ,2,8,SANTA JULIA ,6,CRUZ DE HUMILLADERO 
55876,CL,PETRONIO,1,63,FUENTE ALEGRE ,10,PUERTO DE LA TORRE
55876,CL,PETRONIO,2,66,FUENTE ALEGRE ,10,PUERTO DE LA TORRE
55885,CL,PETUNIA ,1,13,PERI-PT4 LOS ALMENDROS,10,PUERTO DE LA TORRE
55885,CL,PETUNIA ,2,28,PERI-PT4 LOS ALMENDROS,10,PUERTO DE LA TORRE
55887,CL,PEZ ESPADA,1,5,JARAZMIN,2,ESTE
55887,CL,PEZ ESPADA,2,12,JARAZMIN,2,ESTE
55889,CL,PEZ LIMON ,1,37,JARAZMIN,2,ESTE
